Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Food_Group_LabelEncoded
1.0679998769670103,3.0541261310096863,4.273589639157683,1.7437942835134506,-0.17349637504932255,-0.4734093708325728,2.0878057480552887,-0.20579022905248578,-0.48163190592341526,1.1165869496692806,-0.18289489958219426,-0.19182674792340754,3.8142706193614044,0.10426030850098753,0.9712794383217599,1.5117240531637546,-0.14358480275098198,-0.9728910788821005,0.26941248491599784,-0.315911154328507,-0.5530195534673555,-0.35742283167412014,0.24089252400534125,0.8196718320398818,0.8967487088546318,-0.6317920893644268,-0.9627090193160203,-0.5725088872037903,-0.436944144066801,-0.05576363560650439,-0.3304193402076544,0.3136791756403558,-0.018519352255038764,0.8262809518063899,0.2376070338749803
-0.7930008164996765,-0.2954980464030077,0.2512008354184335,-0.46005315220655,-0.8839961953951927,-0.657249951871471,2.75639178431011,-0.9928497288249876,-0.35080939701000907,-1.0019097632744656,-0.8459904657444478,-0.9320097211278049,-0.9817605407137658,-0.9391973692015186,-1.4778663503380949,-1.4106265198278298,-1.0032349163086405,-1.0885514262735398,-0.9572391618023421,-0.8522167963238431,-0.5530195534673555,-0.35742283167412014,-0.6065678640712588,-0.6830297759169598,-0.8109266020959529,-0.9381184781798313,-1.0777636835365567,-1.0556419907392418,-0.8401552689623637,-1.1667614087234255,-1.0199625426910308,-1.461762730675312,-1.0750198443376555,-0.960413915881858,0.7249518740907728
-1.0060069199687551,-0.5711000356837991,-0.1697468300891622,-0.62534170988555,-0.8466949548270345,-0.6321807817298031,0.3685845119714612,-0.9478749002665591,-0.48163190592341526,-0.7290985808445078,-0.7443158122662357,-0.7939158828434024,-0.5980780479077522,-0.09599924580555409,0.4442480660785,0.18043101435647743,-0.7797258867836494,-1.0422872873169642,-0.7119088324586741,-0.8315896562470994,-0.5530195534673555,2.962571671742393,-0.5811440524289608,-0.04855576366851555,-0.4299176382456717,-0.289427301864857,-1.0685593103989137,-0.9874349643577663,-0.3911246980559415,-0.950812992465405,-0.8219590379531573,-0.3438919007728544,-0.9950276642228287,-0.6508299864019865,-0.6709000139347068
-1.1293262430298006,-1.016303249137385,-0.7777823469334672,-0.9057812960809201,-0.8173868372377675,-0.6154680016353578,0.46409680286500715,-0.7679755860328443,-0.48163190592341526,-0.9278128989107733,-0.6249586103570299,-0.7538686697409257,0.5289892747099126,-0.7283978383525275,1.281297892582501,1.5766651770080122,-0.8227083924615322,-1.07409388284961,-0.4665785031150061,-0.5909396886850896,-0.5530195534673555,-0.35742283167412014,-0.4681493340187475,1.287178998959788,0.2737475652616045,-0.5867440910092201,-1.0167847114996722,-0.8282852361343235,-0.7118608201319574,-0.27550062057080593,-0.7531114581386406,-1.0343415310067254,-0.6222339191593912,-0.06808376620458138,-0.6769166169003339
-0.24366928650047373,0.5737082274825649,1.3269559806045115,0.14600489261645008,-0.6175587627654915,-0.6990319021075843,-0.49102610607045244,-0.3294710075881646,-0.48163190592341526,-0.2171566088771796,-0.7200023081736197,-0.8022015131404665,0.6728702095121678,-0.8548775568619222,-0.6408165238340939,-1.1508620244508,-0.848497895868262,-1.0550099255300225,-0.7119088324586741,-0.6046911154029188,-0.5530195534673555,1.1181302809554412,-0.04159427202019206,1.1869988917626655,3.0077443193764606,-0.7038688867327573,-1.050150564123628,-0.5838767249340362,-0.5560747036950354,0.19238761465490511,-0.9238961522521704,-0.442527562234836,0.5851952146493139,2.3636122471029277,1.2363631261690735
-0.22124759139846545,0.5737082274825649,1.4672718691070437,0.2561972644024502,-0.7063712403087251,-0.6823191220131389,0.08204763929082329,-0.2957398861693431,-0.48163190592341526,0.0724947699990718,-0.4039267549696121,-0.771820868717898,0.2891877167061541,-0.7705577445223257,-0.17578884244298215,-1.0859209006065424,-0.9258664060884513,-1.041708985580007,-0.9302528255745386,-0.48780398830137106,-0.5530195534673555,3.3314599498997834,-0.5331212971046202,1.788079534945402,2.552936321987611,-0.8209936824562943,-1.008730885004235,-0.5952445626642822,-0.47359970087548847,0.2814189792525101,-0.8390375073645102,0.18216496035771387,0.5851952146493139,1.9914868332809617,-0.18957177668454145
-0.5015187801735689,0.21330562611537626,1.0463242035994478,-0.9559188252435501,-0.8839961953951927,-0.7324574622964748,-0.49102610607045244,-0.5206140289614866,2.7889308169117397,-1.0019097632744656,-0.8459904657444478,-0.9320097211278049,-0.9817605407137658,-0.9391973692015186,-1.4778663503380949,-1.4106265198278298,-1.0032349163086405,-1.0885514262735398,-0.9572391618023421,-0.8522167963238431,-0.5530195534673555,-0.35742283167412014,-0.6065678640712588,-0.6830297759169598,-0.8109266020959529,-0.9381184781798313,-1.0777636835365567,-1.0556419907392418,-0.8401552689623637,-1.1667614087234255,-1.0199625426910308,-1.461762730675312,-1.0750198443376555,-0.8443575531851876,0.4181051228437923
-0.15398250609244063,0.700909145612161,1.6543597204437528,0.31129345029545,-0.7063712403087251,-0.657249951871471,-0.49102610607045244,-0.284496179029736,-0.48163190592341526,-0.11611543019941746,-0.4039267549696121,-0.7787255606321181,-0.646038359508504,-0.1276191754329028,0.5682554477827966,-0.17674516678693855,-0.14358480275098198,-1.0654193567952521,-0.9032664893467351,-0.2609054474571905,-0.5530195534673555,-0.35742283167412014,-0.6065678640712588,-0.6830297759169598,2.458542209322001,-0.8750512804825421,-0.8476543550954837,-0.7032390211016184,-0.8309913797601918,0.14692479017953228,-0.8795988722164735,-1.1658557462893673,0.1324092894710495,1.9291316122370221,-1.21841088380677
-0.09792826833741995,0.828110063741757,1.7946756089462845,0.4765820079744502,-0.7063712403087251,-0.6656063419186936,-0.3000015242833605,-0.2957398861693431,-0.48163190592341526,-0.05212268370350149,-0.4039267549696121,-0.7621543000379899,-0.5980780479077522,-0.49651835441863723,0.35124252980027754,0.9921950624096951,-0.14358480275098198,-1.0393957786321781,-0.7462550785667876,-0.6253182554796624,-0.5530195534673555,3.5159040889784787,-0.40317737093287487,1.4541458442883262,2.6593442308106625,-0.10022570877298939,-0.9627090193160203,-0.6463998324503888,-0.45068997787005877,0.11472195617614347,-0.8022120576962805,0.3794362832816769,0.1324092894710495,2.100064008159402,-1.308659928291176
-0.33335606690850683,0.3405065442449722,1.1398681292678026,0.14600489261645008,-0.7063712403087251,-0.6739627319659164,-0.49102610607045244,-0.3294710075881646,-0.48163190592341526,-0.2036844517201447,-0.6249586103570299,-0.7248689637012011,-0.09449477609985946,-0.011679433465957702,1.2502960471564268,1.2194889958645965,-0.39288333568270306,-1.0810335036930965,-0.7388951686864775,-0.7422053825812099,-0.5530195534673555,3.7003482280571736,-0.6037429961110036,-0.41588282339129906,1.7892021376931284,-0.42457129693047657,-0.9627090193160203,-0.7146068588318643,-0.7530983215417308,-0.16089641720580378,-0.8982784481351408,0.08352929889573223,0.28333793119713757,1.335610776638642,0.1654077982874555
